"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 24 17:24:49 GMT 2025","Thu Apr 24 17:24:56 GMT 2025","7048","","Testing Contact Us form","","","","User cannot leave a request with empty last name field",""
"passed","Thu Apr 24 17:23:38 GMT 2025","Thu Apr 24 17:24:04 GMT 2025","25801","","Testing register form","","","","Register an account with empty First Name field",""
"passed","Thu Apr 24 17:24:14 GMT 2025","Thu Apr 24 17:24:31 GMT 2025","17012","","Testing Global coverage form","","","","Explore Global Coverage form with empty first name field",""
"passed","Thu Apr 24 17:23:15 GMT 2025","Thu Apr 24 17:23:40 GMT 2025","25186","","Testing Global coverage form","","","","Explore Global coverage form",""
"passed","Thu Apr 24 17:24:21 GMT 2025","Thu Apr 24 17:24:35 GMT 2025","13339","","Testing register form","","","","Register with password contains no upper-case letter ",""
"passed","Thu Apr 24 17:23:40 GMT 2025","Thu Apr 24 17:24:14 GMT 2025","33349","","Testing Global coverage form","","","","Explore Global Coverage form with invalid email format",""
"passed","Thu Apr 24 17:24:35 GMT 2025","Thu Apr 24 17:24:46 GMT 2025","11775","","Testing register form","","","","Register an account with not accepted Terms & Conditions",""
"broken","Thu Apr 24 17:23:15 GMT 2025","Thu Apr 24 17:24:14 GMT 2025","58183","","Testing Contact Us form","","","","User can leave a request to an expert via 'Contact Us' link",""
"passed","Thu Apr 24 17:24:34 GMT 2025","Thu Apr 24 17:24:49 GMT 2025","15294","","Testing Contact Us form","","","","User cannot leave a request with empty first name field",""
"passed","Thu Apr 24 17:24:25 GMT 2025","Thu Apr 24 17:24:38 GMT 2025","13126","","Testing Become a parnter form","","","","Wrong email format in Become a Partner Form",""
"passed","Thu Apr 24 17:24:46 GMT 2025","Thu Apr 24 17:24:55 GMT 2025","8163","","Testing register form","","","","Register an account with invalid email",""
"passed","Thu Apr 24 17:24:14 GMT 2025","Thu Apr 24 17:24:34 GMT 2025","20433","","Testing Contact Us form","","","","User cannot leave a request with invalid email",""
"passed","Thu Apr 24 17:23:15 GMT 2025","Thu Apr 24 17:23:41 GMT 2025","25410","","Testing recieve a call form","","","","Fill the form with wrong Domain type",""
"passed","Thu Apr 24 17:24:56 GMT 2025","Thu Apr 24 17:25:02 GMT 2025","6146","","Testing Contact Us form","","","","User cannot leave a request with empty phone field",""
"passed","Thu Apr 24 17:23:16 GMT 2025","Thu Apr 24 17:23:38 GMT 2025","22527","","Testing register form","","","","Register an account with password less then 12 characters long",""
"passed","Thu Apr 24 17:23:49 GMT 2025","Thu Apr 24 17:24:25 GMT 2025","35739","","Testing Become a parnter form","","","","Become a Partner",""
"passed","Thu Apr 24 17:23:41 GMT 2025","Thu Apr 24 17:24:11 GMT 2025","30170","","Testing recieve a call form","","","","Fill the form with no checked Captcha",""
"passed","Thu Apr 24 17:23:15 GMT 2025","Thu Apr 24 17:23:49 GMT 2025","33706","","Testing Become a parnter form","","","","Too long Phone Number in Become a Partner Form",""
"passed","Thu Apr 24 17:24:04 GMT 2025","Thu Apr 24 17:24:21 GMT 2025","17366","","Testing register form","","","","Register an account with empty Last Name field",""
"passed","Thu Apr 24 17:24:31 GMT 2025","Thu Apr 24 17:24:45 GMT 2025","14218","","Testing Global coverage form","","","","Explore Global Coverage form with empty last name field",""
